央视频道,#genre#
CCTV-1,http://114.241.247.206:4022/rtp/239.3.1.129:8008$雷蒙影视•IPV4『线路52』
CCTV-1,http://171.113.210.106:4022/rtp/239.254.96.96:8550$雷蒙影视•IPV4『线路54』
CCTV-1,http://117.86.51.21:8888/rtp/239.49.8.19:9614$雷蒙影视•IPV4『线路89』
CCTV-1,http://117.86.51.21:8888/rtp/239.49.8.129:6000$雷蒙影视•IPV4『线路82』
CCTV-1,http://222.218.122.56:8188/udp/239.81.0.102:4056$雷蒙影视•IPV4『线路36』
CCTV-1,http://144.255.81.58:8664/udp/239.21.1.120:5002$雷蒙影视•IPV4『线路110』
CCTV-1,http://123.168.95.21:4000/udp/239.21.1.120:5002$雷蒙影视•IPV4『线路76』
CCTV-1,http://115.171.216.73:4000/rtp/225.1.8.1:8008$雷蒙影视•IPV4『线路43』
CCTV-1,http://117.12.150.111:4022/rtp/225.1.1.120:5002$雷蒙影视•IPV4『线路68』
CCTV-1,http://114.254.35.159:8888/rtp/239.3.1.129:8008$雷蒙影视•IPV4『线路98』
CCTV-2,http://114.254.35.159:8888/rtp/239.3.1.60:8084$雷蒙影视•IPV4『线路78』
CCTV-2,http://114.241.247.206:4022/rtp/239.3.1.60:8084$雷蒙影视•IPV4『线路47』
CCTV-2,http://144.255.81.58:8664/udp/239.21.1.151:5002$雷蒙影视•IPV4『线路88』
CCTV-2,http://222.218.122.56:8188/udp/239.81.0.115:4056$雷蒙影视•IPV4『线路31』
CCTV-2,http://115.171.216.73:4000/rtp/225.1.8.2:8084$雷蒙影视•IPV4『线路38』
CCTV-2,http://113.119.26.200:58888/udp/239.77.1.158:5146$雷蒙影视•IPV4『线路69』
CCTV-2,http://171.113.210.106:4022/rtp/239.69.1.102:10250$雷蒙影视•IPV4『线路49』
CCTV-2,http://117.174.25.254:8188/rtp/239.0.0.11:5140$雷蒙影视•IPV4『线路42』
CCTV-2,http://106.116.243.231:9999/rtp/239.254.200.158:6000$雷蒙影视•IPV4『线路44』
CCTV-2,http://122.189.103.236:8010/rtp/228.0.0.2:6108$雷蒙影视•IPV4『线路36』
CCTV-3,http://144.255.81.58:8664/udp/239.21.2.45:5002$雷蒙影视•IPV4『线路91』
CCTV-3,http://220.190.54.26:8188/udp/233.50.201.196:5140$雷蒙影视•IPV4『线路71』
CCTV-3,http://222.218.122.56:8188/udp/239.81.0.231:4056$雷蒙影视•IPV4『线路34』
CCTV-3,http://121.29.141.59:4022/rtp/239.253.92.191:6057$雷蒙影视•IPV4『线路42』
CCTV-3,http://175.8.180.39:7878/udp/239.76.246.153:1234$雷蒙影视•IPV4『线路53』
CCTV-3,http://114.254.35.159:8888/rtp/239.3.1.172:8001$雷蒙影视•IPV4『线路80』
CCTV-3,http://113.119.26.200:58888/udp/239.77.0.169:5146$雷蒙影视•IPV4『线路71』
CCTV-3,http://115.171.216.73:4000/rtp/225.1.8.88:8000$雷蒙影视•IPV4『线路41』
CCTV-3,http://106.116.243.231:9999/rtp/239.254.201.152:7205$雷蒙影视•IPV4『线路46』
CCTV-3,http://114.241.247.206:4022/rtp/239.3.1.172:8001$雷蒙影视•IPV4『线路50』
CCTV-4,https://iptv.catvod.com/catvod_com.php?id=cctv4&token=6fb37dc94494816240e905480bb701e3c37302dbb21b01fc2d29f264ed6aa28d%3A1758277139$订阅源
CCTV-4,https://iptv.catvod.com/catvod_com.php?id=cctv4&token=572a619761ef86c04bf4d7fdfd5de5f10ac1f399d54f625f6dc91c14a8a0c3d1%3A1758320318$订阅源
CCTV-4,https://iptv.catvod.com/catvod_com.php?id=cctv4&token=2451ab2f1ab65602a4d88f480522f57a0f1fca6a64810d646799f805e945a6f5%3A1758104348$订阅源
